web-scraper-order,web-scraper-start-url,Flag,Country,IOC,FIFA,ISO
"1571845386-95","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Guernsey","","","GGY"
"1571845386-119","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Kiribati","KIR","","KIR"
"1571845386-187","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Rwanda","RWA","RWA","RWA"
"1571845386-52","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Comoros","COM","COM","COM"
"1571845386-63","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Denmark","DEN","DEN","DNK"
"1571845386-229","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Trinidad and Tobago","TTO","TRI","TTO"
"1571845386-4","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Albania","ALB","ALB","ALB"
"1571845386-182","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Puerto Rico","PUR","PUR","PRI"
"1571845386-155","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Myanmar","MYA","MYA","MMR"
"1571845386-71","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Equatorial Guinea","GEQ","EQG","GNQ"
"1571845386-142","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Martinique","","","MTQ"
"1571845386-44","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Cayman Islands","CAY","CAY","CYM"
"1571845386-172","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Palau","PLW","","PLW"
"1571845386-73","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Estonia","EST","EST","EST"
"1571845386-19","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Bahrain","BRN","BHR","BHR"
"1571845386-225","https://simple.wikipedia.org/wiki/Comparison_of_IOC,_FIFA,_and_ISO_3166_country_codes","","Timor-Leste[18]","TLS","TLS","TLS"
